Linneweber, V.
Iarosz, K.
Menon, A.
Lehmann, J.
Kunreuther, H.
Heal, G.
Allen, M.
Geiser, J.
Johnston, R.
Morardet, S.
Murgue, C.
Mahieu, M.
Zsuffa, I.
Uyttendaele, G. P.
Schleussner, C. F.
Reuster, L.
Pätz, P.
Papendick, K.
Jähnichen, S.
Scheifhacken, N.
Douven, W.
Welzer, H.
Pagel, J.
Schurr, F. M.
Boit, A.
Schilling, J.
Dass, P.
Chobotova, V.
V., Petoukhov
S., Petri
S., Rahmstorf
H. J.,  Schellnhuber
Tuinstra, W.
Chabai, I.
de Wit,  B.
Langlais, R.
Mills, D.
Moll, P.
Pohl, C.
van Kerkhoff,  L.
Cantu Ros,  A. G.
Roebeling, P. C.
Magalhães-Filho, L.
Schmidt, C. M.
Appelrath, H.-J.
Haucap, J.
Mayer, C.
aus dem Moore,  N.
Weimann, J.
Tokos, K. S.
Deuber, O.
Pollack, G.
Volkwardt, S.
Dierenbach, J.
Lindner, C.
Greiving, S.
Borys, A.
Chobotová, V.
Brocca, L.
Melone, F.
Moramarco, T.
Bittermann, K.
Banaszak, I.
Olonscheck, D.
Pablo-Martí, F.
Pelinovsky, E.
Didenkulova, I.
Mendez, F.
Tinti, S.
Peron, T. K.
Rodrigues, F. A.
Banerjee, S.
Theesar, S. J. S.
Bindschadler, R.A.
Lipscomb, W.H.
Martin, M.A.
Price, S.F.
Wang, W.L.
Hajdas, I.
Belmecheri, S.
Martin, S.
Neff, H.
Graham, H. V.
Freeman, K. H.
Newsom, L.
Lentz, D. L.
Anselmetti, F. S.
Robinson, M.
Southon, J.
Hodell, D. A.
test, t
Wiedermann, M.
Rosenzweig, C.
Elliott, J.
Deryng, D.
Ruane, A. C.
Boote, K. J.
Folberth, C.
Glotter, M.
Khabarov, N.
Pugh, T. A. M.
Yang, H.
Jones, J. W.
Jesus Colón-González,  F. de
Flörke, M.
Folbert, C.
Kim, H.
Lomas, M. R.
Masaki, Y.
Morse, A.
Nishina, K.
Pavlick, R.
Tang, Q.
Tessler, Z. D.
Tompkins, A. M.
Wisser, D.
Asseng, S.
Hatfield, J. L.
Thorburn, P. J.
Rötter, R. P.
Cammarano, D.
Brisson, N.
Basso, B.
Martre, P.
Aggarwal, P. K.
Angulo, C.
Bertuzzi, P.
Biernath, C.
Challinor, A. J.
Doltra, J.
Gayler, S.
Goldberg, R.
Grant, R.
Heng, L.
Hooker, J.
Hunt, L. A.
Ingwersen, J.
Izaurralde, R. C.
Naresh Kumar,  S.
Nendel, C.
O'Leary, G.
Olesen, J. E.
Palosuo, T.
Priesack, E.
Ripoche, D.
Semenov, M. A.
Shcherbak, I.
Steduto, P.
Stöckle, C.
Stratonovitch, P.
Streck, T.
Supit, I.
Tao, F.
Travasso, M.
Wallach, D.
White, J. W.
Williams, J. R.
Wolf, J.
Pilz, T.
Humpenöder, F.
Cikovani, Y.
Schebek, L.
Siegmeier, J.
Baarsch, F.
Schwan, S.
Perette, M.
Schleußner, C.-F.
Chernokulsky, A. V.
Pachzelt, A.
Higgins, S.
Roth, R.
Fuglestvedt, J. S.
Burke, E. J.
Friedrich, T.
Frölicher, T. L.
Mackenzie, F. T.
Segschneider, J.
Timmermann, A.
Lutz, R.
Spies, M.
Coetto, E.
Castelli, F.
Volta, A.
Villani, G.
Marletto, V.
Ludescher, J.
Gozolchiani, A.
Bogachev, M. I.
Brady, E.
Boers, N.
Marengo, J.
Miao, Q.
Pesquera, L.
Ortin, S.
Ji, P.
Peron, T. K. DM.
Zhang, F.
Zeng, F.
Ort, S.
Schwerhoff, G.
Sy, M.
Peng, H.
Yang, Y.
Luo, Q.
Joas, F.
Milne, G. A.
Huggel, C.
Stone, D.
Auffhammer, M.
Jägermeyr, J.
Kummu, M.
Pastor, A.
Bassu, S.
Durand, J.-L.
Lizaso, J.
Makowski, D.
Baron, C.
Boogaard, H.
Conij, S.
De Sanctis,  G.
Grassini, P.
Hoek, S. B.
Izaurralde, C.
Jongschaap, R.
Kemanian, A.
Sau, F.
Teixeira, E.
Timlin, D.
Corbeels, M.
Klein, D. R.
Heitzler, M.
Ramírez-Ávila, G. M.
Walther, T.
Hlinka, J.
Hartman, D.
Vejmelka, M.
Paluš, M.
Itoh, N.
Robertson, R. D.
Roers, M.
Elmer, F.
Hoffmann, P.
Cottret, N.
El Gharras,  A.
Abaach, H.
Bagci, G. B.
Tirnakli, U.
Singh, A.
Jalan, S.
Pu, Y.
Guo, Y.
Asuero, M. P.
O Espaldon,  M. V.
Macandog, D. M.
Reidsma, P.
Frank, D.
Mahecha, M. D.
Zscheischler, J.
Frank, D. C.
Velde, M. van der
Vicca, S.
Speelman, L. H.
Moors, E. J.
Wiltshire, A. J.
Kumar, P.
Wada, Y.
Portmann, F. T.
Tessler, Z.
Zang, C.
Liu, J.
Jiang, L.
Varis, O.
Hauser, S.
Davie, J. C. S.
Falloon, P. D.
Kahana, R.
Ito, A.
Fekete, B.
Liu, X.
Tang, Q-
Donat, M. G.
Karremann, M. K.
Nissen, K. M.
Befort, D. J.
Kreft, H.
Rastgooy, J.
Lampe, M. von
Willenbockel, D.
Ahammad, H.
Blanc, E.
Cai, Y.
Fujimori, S.
Hasegawa, T.
Heyhoe, E.
Kyle, P.
Mason d'Croz,  D.
Nelson, G. C.
Sands, R. D.
Tabeau, A
Valin, H.
Mensbrugghe, D. van der
Meijl, H. van
Wiedmann, T.
Barrett, J.
Feng, K.
Förster, M.
Hu, X.
Zhan, M.
Mheen, M. van der
Toom, M. den
Feng, Q.
Hernandez-Garcia, E.
Montano, N.
Leeuwen, P. V.
Bonnemeier, H.
Eastaugh, C. S.
Kramer, K.
Maroschek, M.
Socha, J.
Vacchiano, G.
Zlatanov, T.
Hasenauer, H.
Vuuren, D. P. van
Wise, M.
Vliet, J. Van
Mason d’Croz,  D.
Robertson, R.
Robinson, S.
Tabeau, A.
Pattyn, F
Perichon, L.
Durand, G.
Favier, L.
Gagliardini, O.
Hindmarsh, R. C. A.
Zwinger, T.
Cornford, S.
Docquier, D.
Goldberg, D.
Gudmundsson, G. H.
Humbert, A.
Hütten, M.
Jouvet, G.
Kleiner, T.
Martin, D.
Rückamp, M.
Rybak, O.
Thoma, M.
Wilkens, N.
Carey, M.
Lobell, D.
Solow, A.
Tibig, L.
Schwanitz, V. J.
Hanewinkel, M.
Blennow, K.
Temperli, C.
Kalognomou, E.-A.
Lennard, C.
Shongwe, M.
Pinto, I.
Favre, A.
Kent, M.
Hewitson, B.
Dosio, A.
Nikulin, G.
Panitz, H.-J.
Endris, H. S.
Omondi, P.
Jain, S.
Chang'a, L.
Awange, J. L.
Ketiem, P.
Stordal, F.
Tazalika, L.
Lüthi, D.
Giorgi, F.
Asrar, G.
Cerezo-Mota, R.
Déqué, M.
Fernandez, J.
Hänsler, A.
Meijgaard, E. van
Samuelsson, P.
Sylla, M. B.
Sushama, L.
von Lampe,  M.
Havlík, P.
van Meijl,  H.
Cullmann, D. A.
Prange, S.
Mueller, C. W.
Schlund, S.
Prietzel, J.
Kögel-Knabner, I.
Balasis, G.
Gao, Z.-K.
Zhang, X.-W.
Jin, N.-D.
Beerling, D.
Clark, D. B:
Keribin, R.
Rademacher, T. T.
Blok, K.
Lee, D. S.
Argent, D.
Bogner, J.
Elzen, M. den
Endresen, Ø.
Eyring, V.
Faber, J.
Façanha, C.
Lockley, P.
Nilsson, L.
Nyong, T.
Pestiaux, J.
Price, L.
Vuuren, D. van
Segafredo, L.
Seroa da Motta,  R.
Angelsen, A.
Cruz, R.
Dalkmann, H.
Egan, C.
Graham, P.
Hargrave, J.
Karpay, D.
Montzka, S.
Olivier, J.
Ton, M.
Wunder, S.
Tollefson, J.
Bach, C.
Staub-Kaminski, I.
Zimmer, A.
Giuntoli, I.
Robinson, E. L.
Fekete, B. M.
Hannah, D. M.
Satoh, Y.
Zhou, B.
Migliavacca, M.
Best, N.
Foster, I.
Olin, S.
van der Mensbrugghe,  D.
Willenbocke, D.
Guse, B.
Mason D’Croz,  D.
Longden, T.
Chen, W.
Fu, S.
Kornek, U.
Wiltshire, A.
Stechow, C. von
Colón-González, F. J.
Emmerling, J.
Eyckmans, J.
Nagashimak, M.
Weikard, H.-P.
Yang, Z.
Bertram, C.
Johnson, N.
Eom, J.
Golub, A.
Narita, D.
Leeuw, S. van der
Grosjean, G.
Chen, Y.-H. H.
Kanudia, A.
Karkatsouli, I.
Keppo, I.
Koljonen, T.
Schumacher, K.
Bakken, B.
Carrara, S.
Schierhorn, F.
Balmann, A.
Kehrwald, N.M.
Barbante, C.
Marlon, J. R.
Werf, G. R. van der
Foley, A. M.
Dalmonech, D.
Aires, F.
Archibald, A. T.
Chappellaz, J.
Hopcroft, P. O.
Kolassa, J.
Levine, J. G.
Pyle, J.
Vázquez Riveiros,  N.
Wolff, E. W.
Aboumahboub, T.
Pehl, M.
Pastor, A. V.
Lucas, P.
Kwast, J. van der
Yalew, S.
Quayle, L.
Mul, M.
Hamdard, M.
Gulay, A.
Tsukamoto, N.
Rode, S.
May, A.
Hirata, Y.
Kehler, E.
Lindeskog, M.
Krämer, J. F.
Potirakis, S. M.
Papadimitriou, C.
Daglis, I. A.
Eftaxias, K.
Bhowmick, S. K.
Ghosh, D.
Roy, P. K.
Li, S.
Yang, C.
Hui, S.
Sha Fu,  W.
Harper, R.
Tubiello, F.
de Siqueira Pinto,  A.
Jafari, M.
Sohi, S.
Masera, O.
Bustamante, M.
Clark, H.
Elsiddig, E. A.
Rice, C. W.
Abad, C. R.
Romanovskaya, A.
Sperling, F.
Clark, D.
de Jesus Colón González,  F.
Wortmann, M.
Stagl, J.
Mayr, E.
Rannow, S.
Anders, I.
Pavlik, D.
Long, J. C. S.
Trenberth, K.
Bennett, E. M.
Carpenter, S. M.
Campbell, B.
Carlberg, L.
Lui, J.
Mueller, N.
Peterson, G. D.
Rockstrom, J.
Spirenburg, M.
Linnerooth-Bayer, C.
Töpfer, K.
Engelhart, S. E.
Mouratiadou, I.
Petermann, N.
Marcucci, A.
Rao, S.
Currás, T. A.
Ashina, S.
Bollen, J.
Hamdi-Cherif, M.
Méjean, A.
Sano, F.
Wada, K.
Capros, P.
Schloemer, S.
Cherp, A.
Pachauri, S.
Sferra, F.
McCollum, D.
Marangoni, G.
Vliet, J. van
Zwaan, B. van der
Merrick, J.
van Vliet,  J.
Jewell, J.
Vinichenko, V.
van der Zwaan,  B. C. C.
Rösler, H.
Kober, T.
Gernaat, D. E. H. J.
De Maere,  G.
Arroyo-Currás, T.
Giannousakis, A.
Hilaire, J.
Clark, L.
Bibas, R.
Ghashghaie, J
van der Zwaan,  B.
van Sluisveld,  M. A. E.
Garg, A.
Shukla, P.
Weyant, J. P.
Blanford, G. J.
Fawcett, A.
Labriet, M.
Slavin, P.
Lenz, T.
Schultes, A.
Edwards, N.
Pizzileo, B.
Eichenauer, E.
Peng, C.
Yin, S.
Qiu, J.
Kaynak, O.
Fang, J.-A.
Leitão, P. J.
Huber, R.
Rigling, A.
Bebi, P.
Brand, F. S.
Buttler, A.
Grêt-Regamey, A.
Scholz, R. W.
Spiegelberger, T.
Zimmermann, W.
Braendle, J. M.
Lang, D. J .
Schmatz, D. R.
Bünau, S. von
Minx, Jan
Baiocchi, Giovanni
Wiedmann, Thomas
Barrett, John
Creutzig, Felix
Feng, Kuishuang
Förster, Michael
Pichler, Peter-Paul
Weisz, Helga
Hubacek, Klaus
Schaffartzik, A.
Enano, N. H.
Herzele, A. Van
Gossum, P. Van
de Frahan,  B. H.
Holldorb, C.
Rumpel, F.
Menz, C.
Scholten, T.
Wang, D.
Simon, T.
Ohlwein, C.
Larkin, J.
Fekete, H.
Jeffery, L.
Baxter, C.
Fallasch, F.
Schoenberg, W.
Jensen, K.
Ellwanger, G.
Rottgardt, E.
Runge, K.
Schröder, E.
Strasdas, W.
Zeppenfeld, R.
Gurgel, A.
Kavallari, A.
Halbe, J.
Holtz, G.
Haasnoot, M.
Stosius, A.
Kwakkel, J.
Franck, E.
Janssen, G.
Lützen, K.
Köppcke, K.-E.
Sterger, O.
Selbmann, B.
Balderjahn, I.
Becker, U. J.
Brunsch, R.
de Haan,  G.
Knie, A.
Kreibich, R.
Molitor, H.
Moss, T.
Schäfer, M.
Statz, A.
Vahrson, W.-G.
Wiggering, H.
Kothieringer, K.
Leifeld, J.
Rethemeyer, J.
Brueggemann, N.
Abdu, N.
Ako, R.
Backhaus, J.
Bergset, L.
Bezerra, J.
Bobojonov, I.
Borges, V.
Cakirli Akyüz,  N.
Callo-Concha, D.
Castro, R.
Cundill, G.
Drees, R.
Escalante, N.
Haake, H.
Havemann, A.
Hotes, S.
Ibeh, L.
Karimov, A.
Köbbing, J.
Kurniawan, T.
Landry, J.
Leopold, A.
Lopes Guerreiro,  L.
Månsson, A.
Marques da Silva,  C.
Mawlong, L.
Moorhouse, J.
Mu, D.
Mukwaya, P.
Murguía, D.
Mutopo, P.
Nazarkina, L.
Nuss, P.
O'Brien, M.
Olaka, L.
Phelan, L.
Randrianiaiana, R.
Reichel, A.
Sakane, N.
Schmelzer, M.
Schmidt, A.
Schwindenhammer, S.
Seufert, V.
Shen, W.
Shi, L.
Sop, T.
Tephnadze, N.
Tietze, F.
Tlili, I.
Yazid, S.
Young, A.
Broschkowski, E.
Church, J. A.
Jevrejeva, S.
Merrifield, M. A.
Nerem, R. S.
Nunn, P. D.
Pfeffer, W. T.
Unnikrishnan, A. S.
Becker, A. H.
Acciaro, M.
Asariotis, R.
Cabrera, E.
Cretegny, L.
Crist, P.
Esteban, M.
Mather, A.
Messner, S.
Naruse, S.
Ng, A. K. Y.
Savonis, M.
Song, D.-W.
Stenek, V.
Velegrakis, A. F.
Stavins, R.
Stowe, R.
Ehlert, D.
Fettweis, X.
Lindberg, M.
Jefferey, L.
Wicke, B.
Hilst, F. van der
Daioglou, V.
Banse, M.
Gerssen-Gondelach, S.
Heijnen, S.
Karssenberg, D.
Laborde, D.
Lippe, M.
Nassar, A.
Powell, J.
Prins, A. G.
Rose, S. N. K.
Smeets, E. M. W.
Tyner, W. E.
Verstegen, J. A.
Faaij, A. P. C.
Boote, K.
Adam, M.
Conijn, S.
Hoek, S.
Kemanian, A. R.
Kim, S.-H.
Kumar, N. S.
Pravia, M. V.
Thompson, A.
Pavlova, O. N.
Bibikova, O. A.
Nicholls, N.
Mach, K.
Muir-Wood, R.
Stanisławska, K.
Piniewski, M.
Bärlund, I.
Okruszko, T.
Kêdziora, A.
Hov, Ø.
Fischer, E.
Iversen, T.
Kvamstø, N. G.
Rezacova, D.
Rios, D.
Duarte Santos,  F.
Schädler, B.
Veisz, O.
Zerefos, C.
Murlis, J.
Schellnhuber, incl. H. J.
Neher, I.
Höfner, K.
Wergen, G.
Krug, J.
Feldmann, J.
Werf, G. van der
Gomez Dans,  J.
Fisher, R.
Forrest, M.
Mahecha, M.
von Buttlar,  J.
Harmeling, S.
Randerson, J.
Schölkopf, B.
Seneviratne, S.
Babst, F.
Bloh, W. von
Graef, F.
Mutabazi, K.
Asch, F.
Biesalski, H. K.
Bitegeko, J.
Bokelmann, W.
Bruentrup, M.
Dietrich, O.
Elly, N.
Fasse, A.
Germer, J. U.
Grote, U.
Herrmann, L.
Kahimba, F. C.
Kaufmann, B.
Kersebaum, K.-C.
Kilembe, C.
Kimaro, A.
Kinabo, J.
König, B.
König, H.
Lana, M.
Levy, C.
Lyimo-Macha, J.
Makoko, B.
Mazoko, G.
Mbaga, S. H.
Mbogoro, W.
Milling, H.
Mtambo, K.
Mueller, J.
Mueller, K.
Nkonja, E.
Reif, C.
Ruvuga, S.
Schaefer, M.
Sikira, A.
Silayo, V.
Stahr, K.
Swai, E.
Tumbo, S.
Lewandowska, A. M.
Boyce, D. G.
Matthiessen, B.
Sommer, U.
Albuquerque, G.
Lehmann, D. J.
Rodermund, T.
Eisemann, M.
Theisel, H.
Magnor, M.
Chandrasekar, V. K.
Subash, B.
Gao, B.
Schimming, R.
Gaedke, U.
Tecklenburg, J.
Müller, E. N.
Eugenio, E. A.
Enano, N. H. Jr.
Vega, B. A.
Macandog, P. B. M.
Lopez, M. A.
Salvacioni, A. R.
Grunewald, N.
Schmidt, S.
Klenert, D.
Bénard, S.
Hentschel, M.
Mutafoglu, K.
Lissner, T. K.
Lakes, T.
Molkenthin, N.
Schulz, M.
González Rouco,  J. F.
Jansen, E.
Lambeck, K.
Naish, T.
Osborn, T.
Ramesh, R.
Rojas, M.
Shao, X.
Stevanovic, M.
Schneider, B.
Lannerstad, M.
Enfors, E.
Falloon, P.
Kato, E.
Warszawaski, L.
Yokohata, T.
Sullivan, C. A.
Battle-Bayer, L.
Hurk, B. J. J. M. van den
Minnen, J. van
Linkov, I.
Bridges, T.
Decker, J.
Fox-Lent, C.
Kröger, W.
Lambert, J. H.
Montreuil, B.
Nathwani, J.
Nyer, R.
Scharte, B.
Scheffler, A.
Thiel-Clemen, T.
Esnault, L.
Gleeson, T.
Flanary, E.
Bierkens, M. F. P.
Beek, L. P. H. van
Clarke, T. R.
Harlan, L. S.
Stefanova, A.
Bielecka, M.
Domnin, D. A.
Lin, E. K.
Cura, A. L.
Primavera, M. G.
Bakker, M.
Doorn, A. van
Gómez-Delgado, M.
Delgado, M.
Parry, M.
Herzschuh, U.
Borkowski, J.
Mischke, S.
Tian, F.
Zemp, D. C.
Barbosa, H. M. J.
Van der Ent,  R. J.
Sampaio, G.
Lang, W. L.
Acharya, T.
Fanzo, J.
Gustafson, D.
Ingram, J.
Schneeman, B.
Allen, L.
Drewnowski, A.
Hall, S.
Hendley, P.
Howden, M.
Janssen, S.
Jones, J.
Latulippe, M.
McDermott, J.
Nelson, G.
Newsome, R.
Roulin, A.
Scholes, B.
Tanumihardjo, S.
Tavill, G.
Wiebe, K.
Chryssanthacopoulos, J.
Iizumi, T.
Mueller, N. D.
Ray, D. K.
Gornott, C.
Dangendorf, S.
Mudersbach, C.
Kaufmann, E.
Zorita, E.
Jensen, J.
Oijen, M. van
Balkovič, J.
Kuhnert, M.
Martin, R.
Myneni, R.
Yue, C.
Archibald, S.
Hao, W. M.
Hantson, S.
Maignan, F.
Zimmermann, A.
Elsenbeer, H.
Heß, J.
Hirschl, B.
Koch, N.
Fuss, S.
Cohen, J.
Screen, J. A.
Furtado, J. C.
Barlow, M.
Whittleston, D.
Entekhabi, D.
Overland, J.
Beijl, D.
Stuermer, M.
Oevelen, P. van
Battle-Beyer, L.
van den Hurk,  B.J.J.M.
Molkenthin, Nora
Rehfeld, Kira
Marwan, Norbert
Kurths, Jürgen
Zou, Yong
Small, Michael
Liu, Zonhua
Runge, Jakob
Petoukhov, Vladimir
Tang, Yang
Gao, Huijun
Fitzgerald, J. B.
Delzon, S.
Maaten, E. van der
Eggers, J.
Maaten-Theunissen, M. van der
Psoumas, A.
Winz, A.-L.
Evangeliou, N.
Balkanski, Y.
Cozic, A.
Hao, W.M.
Paugam, R.
Zibtsev, S.
Mousseau, T.A.
Wang, R.
Petkov, A.
Koffi, B.
Kaiser, J.W.
Møller, A.P.
Fytterer, T.
Arras, C.
Jacobi, C.
Kraas, F.
Lemke, P.
Matthies, E.
Schneidewind, U.
et al.
Menck, P.
Cady, L. P.
Brack, A.
Bueno Pinto,  J. E.
Cockell, C.
Kasting, J. F.
Lineweaver, C. H.
Raulin, F.
Schopf, J. W.
Sleep, N.
Deamer, D.
Lehman, N.
Perez-Mercader, J.
Goldschmidt, J. C.
Blücher, F. von
Breyer, C.
Fernandez, B.
Lohrey, S.
Susca, T.
Wiegandt, K.
Geden, O.
Tupikina, L.
Stolbova, V.
Mucha, P. J.
Li, Lixiang
Peng, Haipeng
Schürkmann, A. K.
Hardenbicker, P.
Weitere, M.
Kohar, V.
Choudhary, A.
Kloster, S.
Tian, X.
Feng, J.
Zhong, J.
Duan, J.
Radloff, A.
Peron, T. K. D. M.
Prado, T. de L.
Camargo, S.
Anteneodo, C.
Rawald, T.
Sips, M.
Dransch, D.
Webber, C. L.
Guhathakurta, K.
Bhattacharya, B.
Chowdhury, A. R.
Jajcay, N.
Menzel, P.
Gaye, B.
Mishra, P. K.
Anoop, A.
Basavaiah, N.
Plessen, B.
Riedel, N.
Stebich, M.
Wiesner, M. G.
Cohen, Y.
Ribeiro, A.
Scotto, M. G.
Otto, C.
Lingnau, B.
Schöll, E.
Lüdge, K.
Jaurigue, L. C.
Egenhofer, C.
Fragkos, P.
Behrens, A.
Stetter, D.
Kreidenweis, U.
Tan, R.
Arnett, A.
Gellhorn, C.
Brouwers, N.
Brook, B.
Epila, J.
Grant, R. F.
Medlyn, B.
Pfeiffer, M.
Steinkamp, J.
Vanderwel, M.
Verbeeck, H.
Villela, D.
Schultz, P.
Marengo, J. A.
Enei, R.
Leclère, D.
Parrado, R.
Stevanović, M.
Larondelle, N.
Hamstead, Z. A.
Kremer, P.
McPhearson, T.
Krellig, H.
Solow, A. R.
McJeon, H.
Fisher, B.
Flannery, B. P.
Mi, R.
Rogner, H.
Klasen, S.
Lay, J.
Martínez-Zarzoso, I.
Renner, S.
Eroglu, D.
Costa, L. da F.
Sebek, M.
Unger, D. M.
Thurner, M.
Spierenburg, M.
Yang, T.
Yu, Z.
Chen, X.
Schwartz, F. W.
Sudicky, E. A.
Shindell, D. T.
Klimont, Z.
Amann, M.
Klimont, Z. G.
Velders, J.
Kumar, S. N.
o'Leary, G.
Stöckle, C. O.
Schaik, L. van
Carus, J.
Fleckenstein, J. H.
Geißler, K.
Gerke, H. H.
Hildebrandt, A.
Hölker, F.
Hunke, P.
Körner, K.
Lewandowski, J.
Meinikmann, K.
Schibalski, A.
Schmalz, B.
Lillebø, A.
Willems, W.
Kölling, K.
Beck, F.
Wheeler, T. R.
Zelazowski, P.
Stoffel, M.
Kaczka, R. J.
Wyzga, B.
Niedzwiedz, T.
Ruiz-Villanueva, V.
Lupikasza, E.
Czajka, B.
Ballisteros-Canovas, J. A.
Malarzewski, L.
Janecka, K.
Mikus, P.
Blöschl, G.
Littlewood, I.
Montanari, A.
Savenije, H.
Arheimer, B.
Borga, M.
Claps, P.
Kiss, A.
Kjeldsen, T. R.
Kriaučiūnienė, J.
Lang, M.
Llasat, M. C.
McIntyre, N.
Mediero, L.
Merz, R.
Molnar, P.
Neuhold, C.
Parajka, J.
Perdigão, R. A. P.
Plavcová, L.
Rogger, M.
Salinas, J. L.
Sauquet, E.
Schär, C.
Viglione, A.
Vorogushyn, S.
Hartmann, H.
Duethmann, D.
Bouriaud, L.
Duduman, G.
Barnoaiea, I.
Nichiforel, L.
Zimmermann, N.
Kwakkel, J. H.
Vitolo, C.
Elkhatib, Y.
Macleod, C. J. A.
Lobell, D. B.
Ottman, M. J.
Reynolds, M. P.
Alderman, P. D.
Prasad, P. V.
Anothai, J.
de Sanctis,  G.
Fereres, E.
Hoogenboom, D.
Jabloun, M.
Koehler, A.-K.
O''Leary, G.
Eyshi Rezaei,  E.
Stratonovich, P.
Thorburn, P.
Wang, E.
Zhao, Z.
Zhu, Y.
Högner, K.
Acworth, W.
Marcus, R.
Eden, A.
Trujillo, N. C.
Cartsburg, M.
Jobbins, G.
Jones, L.
Krummenauer, L.
Le Masson,  V.
Ludi, E.
Mosello, B.
Norton, A.
Pereznieto, P.
Butchard, S.
Halpern, B.
Ingwall-King, L.
van Kolck,  J.
Quijas, S.
Romanelli, C.
Sachse, R.
Tierney, M.
Hoskins, B.
Kabbat, P.
Gong, P.
Schlosser, P.
Máñez Costa,  M.
Humble, A.
Eyre, N.
Gleick, P.
James, R.
Lucena, A.
Moench, M.
Seitzinger, S.
Ward, B.
Hurrell, J.
Srivastava, L.
Cremades, R.
Roth, E.
Arnott, J.
Stojanović, D.
Matović, B.
Orlović, S.
Djurdjević, V.
Milić, D.
Ahrens, B.
Dobler, A.
Bierkandt, R.
Wenz, L.
Willner, S. N.
von Blücher,  F.
Nahmmacher, P.
Grosse, G.
Strauss, J.
Morgenstern, A.
Boike, J.
Campiglio, E.
Sluisveld, M. van
Bolwig, S.
Bright, R.
Cherubini, F.
Corbera, E.
Delucchi, M.
Fargione, J.
Robledo-Abad, C.
Stromman, A.
Kok, M.
Oyebamiji, O. K.
Garthwaite, P. H.
Leeuwen, T. T. van
Martinez, S. H.
Rosler, H.
He, F.
Buizert, C.
Reese, R.
Ligtenberg, S. R. M.
Broeke, M. R. van den
Simon, A. A.
Wong, M. H.
Rogers, J. H.
Orton, G. S.
de Pater,  I.
Asay-Davis, X.
Carlson, R. W.
Marcus, P. S.
Storch, J.-S. von
Mitra, V.
Sarma, A.
Janaki, M. S.
Sekar Iyenger,  A. N.
Sarma, B.
Shaw, P. K.
Saha, D.
Ghosh, S.
Machado, B. S.
Fonoff, E. T.
Cerdeira, H. A.
Teixeira, M. J.
Sameshima, K.
Jia, Y. B.
Hagemann, M.
Wouters, K.
Deng, Y.
Wong, L.
v. Bloh,  W.
Andrew, R. M.
Canadell, J. G.
Raupach, M. R.
Stankevich, N. V.
Kuznetsov, A. P.
Qiao, H.
Takoutsing, E.
Yemele, D.
Su, Z.
Radebach, Alexander
Donner, Reik V.
Donges, Jonathan F.
Valli, D.
Muthuswamy, B.
Ariffin, M. R. K.
Wahab, A. W. A.
Ganesan, K.
Subramaniam, C. K.
Belykh, I.
Porfiri, M.
Ivanova, G.
Hassan, M. K.
Pavel, N. I.
Pandit, R. K.
Kapitaniak, T.
Peron, T. K. D.
Comin, C. H.
Amancio, D. R.
Qian, F.
Liu, G.
Bätjer, S.
Fetzer, I.
Biggs, R.
Persson, L. M.
Wechsung, M.
Seto, K. C.
Feldhoff, J.H.
Becker, C.
Bölling, L.
Clausen, W.
Haag, L.
Hahmann, H.
Heiduk, P.
Hendzlik, M.
Henze, A.
Hollandt, F.
Hunsicker, F.
Lange, C.
Neumann, A.
Rupp, J.
Schiefelbein, S.
Weyer, G.
Wieler, U.
Donges, J.
Petrova, I.
Loew, A.
Florence, Gerson
Klimm, F.
Borge-Holthoefer, J.
Gajduk, A.
Todorovski, M.
Kocarev, L.
Traxl, D.
Wildgrube, T.
Box, J.
Rutherford, S.
Schaffernicht, E.
Ibrom, A.
Zavala, M. A.
Huth, N.
Carberry, P.
Foerster, S.
Szczesniak, M.
Blok, A.
Gröber, A.
Selchow, S.
Tyfield, D.
Volkmer, I.
Beck, U.
Witzke, H. von
Schwarz, G.
Thang Dao,  N.
Rillig, M. C.
Kiessling, W.
Borsch, T.
Greenwood, A. D.
Hofer, H.
Joshi, J.
Tockner, K.
Weisshuhn, K.
Acharyya, S.
Mohammad, Y. K.
Beckmann, J.
Poorter, L.
Lechleitner, F. A.
Zhang, M.
Macpherson, C. G.
Baldini, L. M.
Xiao, T.
Peterkin, J. L.
Zhang, Wenbing
Conijn, S. J. G.
Hunt, T. L. A.
Jongschaap, R. E. E.
O'Leary, G. J.
Teixeira, E. I.
Rötter, R.
Willams, J. R.
Divine, D. V.
Miettinen, A.
Breitenbach, S.F.M.
Nagashima, M.
Bashmakov, I. A.
Blanco, G.
Broome, J.
Conte Grand,  M.
Cruz-Núnez, X.
Dubash, N. K.
Farahani, E.
Fleurbaey, M.
Gerlagh, R.
Gómez-Echeverri, L.
Gupta, S.
Kartha, S.
Kolstad, C.
Mulugetta, Y.
Norgaard, R.
Sagar, A.
Seto, K.
Somanathan, E.
Sterner, T.
Sugiyama, T.
Venables, A.
Zhou, D.
Zou, J.
Akimoto, K.
Babiker, M.
Fischer-Vanden, K.
Löschel, A.
Allwood, J. M.
D'Agosto, M.
Olvera, M. C.
Coninck, H. C. de
Delgado, G. C.
Fullerton, D.
Hertwich, E.
Honnery, D.
Mundaca, L.
Murakami, J.
Olivier, J. G. J.
Rauscher, M.
Rogner, H.-H.
Stern, D. I.
Strachan, N.
Wiener, J.
Yamaguchi, M.
